api_name,kingdom,phylum,class,family,order,subfamily,genus,species,api_internal_id,author,publication_name,publication_year,api_link,status,original_source
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanita,muscaria,8168319,,,,https://www.gbif.org/species/8168319,Accepted,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Agaricus,aureolus,5455639,Kalchbr.,Icon. Sel. Hymenomyc. Hung. (Budapest) 1: 9.,1873,https://www.gbif.org/species/5455639,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Agaricus,imperialis,5955425,Batsch,Elench. Fung. (Halle): 59.,1783,https://www.gbif.org/species/5955425,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Agaricus,muscarius,5451774,L.,Sp. Pl. 2: 1172.,1753,https://www.gbif.org/species/5451774,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Agaricus,nobilis,3329091,Bolton,"Hist. Fung. Halifax (Huddersfield) 2: 46, Tab. 46.",1788,https://www.gbif.org/species/3329091,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Agaricus,pseudoaurantiacus,3329092,Bull.,"Hist. Champ. Fr. (Paris) 2(2): 673, Pl. 122.",1792,https://www.gbif.org/species/3329092,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Agaricus,puellus,5452606,Batsch,Elench. Fung. (Halle): 59.,1786,https://www.gbif.org/species/5452606,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanita,aureola,5452441,(Kalchbr.) Sacc.,Syll. Fung. (Abellini) 5: 12.,1887,https://www.gbif.org/species/5452441,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanita,circinnata,5452605,Gray,Nat. Arr. Brit. Pl. (London) 1: 600.,1821,https://www.gbif.org/species/5452605,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanita,formosa,5452657,Gonn. & Rabenh.,"Myc. Europ. (Dresden) 1-2: Tab. 10, Fig. 2.",1869,https://www.gbif.org/species/5452657,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanita,puella,5452294,(Batsch) Gonnerm. & Rabenh.,,,https://www.gbif.org/species/5452294,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanitaria,muscaria,3301084,(L.) E.-J.Gilbert,"In Bresadola, Iconogr. mycol., Suppl. I (Milan) 27: 76.",1940,https://www.gbif.org/species/3301084,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Hypophyllum,muscarium,12357845,(L.) Paulet,"Traité Champ. (Paris) 2: 346, Tab. 157, Figs 1-3 (’1793-1829′).",1808,https://www.gbif.org/species/12357845,Synonym,
GBIF,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Venenarius,muscarius,12282853,(L.) Millsp.,"West Virginia Geol. Surv., Ser. A 5(1): 131.",1913,https://www.gbif.org/species/12282853,Synonym,
symbiota_mycoportal,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanita,muscaria,95084,,,,https://mycoportal.org/portal/taxa/index.php?taxon=95084,,
mushroomobs,Fungi,Basidiomycota,Agaricomycetes,Amanitaceae,,,Amanita,amerimuscaria,16015,Tulloss & Geml nom. prov.,,,https://mushroomobserver.org/name/show_name/16015,,
