api_name,kingdom,phylum,class,family,subfamily,genus,species,api_internal_id,author,publication_name,publication_year,api_link,status,source_name
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,officinale,5394163,,,,https://www.gbif.org/species/5394163,Accepted,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Chondrilla,taraxacum,5700866,(L.) Stokes,In: Bot. Mat. Med. 4: 122.,1812,https://www.gbif.org/species/5700866,Synonym,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Crepis,taraxacum,5394165,(L.) Stokes,"In: W. Withering, Bot. Arr. Brit. Pl. Ed. 2. 2: 853.",1787,https://www.gbif.org/species/5394165,Synonym,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Leontodon,officinalis,4253295,(F.H.Wigg.) J.F.Gmel.,J. F. Gmel. (n.d.). In: Syst. Nat. Ed. 13.,,https://www.gbif.org/species/4253295,Synonym,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Leontodon,taraxacum,8019272,L.,In: Sp. Pl. 798.,1753,https://www.gbif.org/species/8019272,Synonym,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Leontodon,vulgaris,7677880,Lam.,"In: Fl. Franç. 2: 113, Nom. Superfl.",1779,https://www.gbif.org/species/7677880,Synonym,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,dens-leonis,5394164,Desf.,Fl. Atlant. 2: 228,1799,https://www.gbif.org/species/5394164,Synonym,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,taraxacum,11341168,(L.) H.Karst.,"In: Deut. Fl.: 1138, Nom. Inval.",1883,https://www.gbif.org/species/11341168,Synonym,
GBIF,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,vulgare,5394167,Schrank,"In: Baier. Reise: 11, Nom. Superfl.",1786,https://www.gbif.org/species/5394167,Synonym,
symbiota_cch2,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,officinale,206161,,,,https://cch2.org/portal/taxa/index.php?taxon=206161,,
symbiota_cch2,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Leontodon,laevigatus,206161,Willd.,,,https://cch2.org/portal/taxa/index.php?taxon=206161,,
symbiota_cch2,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Leontodon,taraxacum,206161,L.,,,https://cch2.org/portal/taxa/index.php?taxon=206161,,
symbiota_cch2,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,laevigatum,206161,(Willd.) DC.,,,https://cch2.org/portal/taxa/index.php?taxon=206161,,
symbiota_sernec,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,officinale,141,,,,https://sernecportal.org/portal/taxa/index.php?taxon=141,,
symbiota_nansh,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,officinale,141,,,,https://nansh.org/portal/taxa/index.php?taxon=141,,
symbiota_neherbaria,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,officinale,833328,,,,https://neherbaria.org/portal/taxa/index.php?taxon=833328,,
symbiota_midatlantic,Plantae,Tracheophyta,Magnoliopsida,Asteraceae,Cichorioideae,Taraxacum,officinale,141,,,,https://midatlanticherbaria.org/portal/taxa/index.php?taxon=141,,
